16          -105.09127932   33.04749064  0.000000E+00 -2.107607116900E+01 -2.107607116900E+01 -2.142768324183E+01  3.023827595641E+01  3.022992227880E+01  3.674335288526E+01  3.671017548097E+01 -1.596687135526E+02  9.819867834511E+05  6.256049962300E+07  9.796002307759E+05  6.263664525970E+07  1.614938374823E+03  1.636366058064E+03  9.795699924999E+05  9.795699925000E+05  1.198968211132E+01  1.198122476997E+01  4.502544689869E-01
17          -105.09121088   33.04749381  0.000000E+00 -2.107644326938E+01 -2.107644326937E+01 -2.142800446019E+01  3.022555414205E+01  3.021719325189E+01  3.673074591770E+01  3.669756086647E+01 -1.596671186215E+02  9.819867708162E+05  6.256049962481E+07  9.796002183159E+05  6.263664525606E+07  1.614812942381E+03  1.636240946841E+03  9.795699927618E+05  9.795699927618E+05  1.199018006722E+01  1.198170394972E+01  4.507444408310E-01
18          -105.09114245   33.04749697  0.000000E+00 -2.107681532874E+01 -2.107681532874E+01 -2.142832564766E+01  3.021283427920E+01  3.020446617984E+01  3.671814088886E+01  3.668494819422E+01 -1.596655235458E+02  9.819867581831E+05  6.256049962661E+07  9.796002058571E+05  6.263664525241E+07  1.614687500570E+03  1.636115826218E+03  9.795699930228E+05  9.795699930228E+05  1.199067563888E+01  1.198218239551E+01  4.512341788262E-01
19          -105.09107401   33.04750014  0.000000E+00 -2.107718746040E+01 -2.107718746040E+01 -2.142864690091E+01  3.020011202342E+01  3.019173671403E+01  3.670553348964E+01  3.667233315045E+01 -1.596639279910E+02  9.819867455478E+05  6.256049962842E+07  9.796001933966E+05  6.263664524877E+07  1.614562030635E+03  1.635990677536E+03  9.795699932846E+05  9.795699932846E+05  1.199117197787E+01  1.198266040295E+01  4.517239884502E-01
20          -105.09100557   33.04750331  0.000000E+00 -2.107755960769E+01 -2.107755960769E+01 -2.142896817158E+01  3.018738954772E+01  3.017900702983E+01  3.669292587531E+01  3.665971789309E+01 -1.596623321242E+02  9.819867329123E+05  6.256049963023E+07  9.796001809360E+05  6.263664524512E+07  1.614436541937E+03  1.635865510108E+03  9.795699935465E+05  9.795699935465E+05  1.199166750854E+01  1.198313782418E+01  4.522137169197E-01
21          -105.09093714   33.04750647  0.000000E+00 -2.107793171390E+01 -2.107793171390E+01 -2.142928941130E+01  3.017466902620E+01  3.016627930312E+01  3.668032020272E+01  3.664710458058E+01 -1.596607361128E+02  9.819867202785E+05  6.256049963202E+07  9.796001684765E+05  6.263664524147E+07  1.614311043963E+03  1.635740333374E+03  9.795699938075E+05  9.795699938075E+05  1.199216262484E+01  1.198361451177E+01  4.527032115613E-01
22          -105.09086871   33.04750964  0.000000E+00 -2.107830383810E+01 -2.107830383810E+01 -2.142961066989E+01  3.016194795737E+01  3.015355102926E+01  3.666771398745E+01  3.663449072647E+01 -1.596591398586E+02  9.819867076444E+05  6.256049963383E+07  9.796001560173E+05  6.263664523783E+07  1.614185536543E+03  1.635615147213E+03  9.795699940693E+05  9.795699940693E+05  1.199265732685E+01  1.198409069496E+01  4.531927101009E-01
23          -105.09080027   33.04751280  0.000000E+00 -2.107867602972E+01 -2.107867602972E+01 -2.142993199125E+01  3.014922515643E+01  3.014082102514E+01  3.665510606208E+01  3.662187516281E+01 -1.596575429867E+02  9.819866950083E+05  6.256049963563E+07  9.796001435555E+05  6.263664523418E+07  1.614059982366E+03  1.635489914357E+03  9.795699943303E+05  9.795699943304E+05  1.199315003921E+01  1.198456627624E+01  4.536821100017E-01
24          -105.09073184   33.04751597  0.000000E+00 -2.107904818503E+01 -2.107904818503E+01 -2.143025328457E+01  3.013650365347E+01  3.012809231992E+01  3.664249942261E+01  3.660926088690E+01 -1.596559461087E+02  9.819866823738E+05  6.256049963744E+07  9.796001310958E+05  6.263664523054E+07  1.613934437455E+03  1.635364690739E+03  9.795699945922E+05  9.795699945922E+05  1.199364351899E+01  1.198504128735E+01  4.541714461391E-01
25          -105.09066340   33.04751913  0.000000E+00 -2.107942040772E+01 -2.107942040772E+01 -2.143057464062E+01  3.012378042051E+01  3.011536188608E+01  3.662989107394E+01  3.659664490308E+01 -1.596543486126E+02  9.819866697372E+05  6.256049963923E+07  9.796001186336E+05  6.263664522689E+07  1.613808845844E+03  1.635239420484E+03  9.795699948532E+05  9.795699948532E+05  1.199413658466E+01  1.198551569642E+01  4.546606836073E-01
