lon,lat,FAA,SMW,TC,Faye,Disturbing_potential,Undulation,Cogeoid,Geoid
-106,32.5,-18.42492078672512,-18.65530651453446,-3.077311178308483,-15.57799533622597,3566162.971502294,3.640706561308183,-17.04811802502281,-17.19768673295107
-106,32.51,-18.92853534832102,-19.43048725799599,-3.21085230400348,-16.21963495399251,3593196.878604215,3.668302492242442,-17.02753481692556,-17.15858465677063
-106,32.52,-19.47748716588831,-20.24436096646969,-3.100192396585192,-17.14416856988449,3618724.0215821,3.694360119053032,-17.00877212616597,-17.06966828826271
-106,32.53,-20.0781207413238,-21.10211868862098,-4.411104896537127,-16.69101379208385,3641666.490553339,3.717779006889735,-16.99294346171827,-17.13738029048524
-106,32.54,-20.7375582961613,-22.00890896286728,-6.297877014157533,-15.71103194870975,3661979.084802058,3.738513016969957,-16.98010747721404,-17.08225660411162
-106,32.55,-21.52420944657933,-23.02718126936816,-6.896154315528503,-16.13102695383965,3679614.586212058,3.756513951106185,-16.97032430766281,-17.02502466440131
-106,32.56,-22.68073738201929,-24.3779018064597,-12.41748312423518,-11.96041868222452,3693939.129374009,3.771134704284121,-16.96425239930688,-17.08911112150501
-106,32.57,-23.899965644654,-25.78067460882448,-12.57919882428781,-13.20147578453667,3704812.376612007,3.782232014663284,-16.96204574328372,-17.05265521896391
-106,32.58,-25.09625633765972,-27.15634876883996,-11.85895377076537,-15.29739499807459,3712275.620984835,3.789848047011052,-16.96367227708495,-17.10867593375245
-106,32.59,-26.23604661243735,-28.47515556428698,-15.55840196390997,-12.91675360037701,3716598.557581558,3.794258140524406,-16.96886612285259,-17.0678169361157
-106,32.6,-27.28118730938877,-29.70225243410823,-22.09993041394879,-7.602322020159438,3717948.689251196,3.795633305987043,-16.97746507759796,-17.1255502698056
-106,32.61,-28.19080853344349,-30.80002174237598,-18.23918597212941,-12.56083577024657,3717146.104169109,3.79481077381421,-16.98864005376879,-17.09258903277511
-106,32.62,-28.92215449494688,-31.72918377228052,-15.99104928734785,-15.73813448493267,3714190.336871666,3.791790074338716,-17.00239898883428,-17.08646795146536
-106,32.63,-29.42989191885135,-32.44847815801768,-9.885854591382451,-22.56262356663523,3708303.423538316,3.785776996107594,-17.0195428781034,-17.06739899375823
-106,32.64,-29.659416832641,-32.90930490230676,-27.24944027052742,-5.659864631779339,3700240.63472207,3.777542595600729,-17.03930675738127,-17.21604786468919
-106,32.65,-29.56623760076764,-33.07501758039143,-13.2617852971153,-19.81323228327613,3692370.241433845,3.769504623088946,-17.05927827072705,-17.07525575698897
-106,32.66,-29.20762622658367,-32.99579398905917,-17.82084518761986,-15.17494880143931,3684992.30066934,3.761969403074158,-17.07915578488385,-17.28698553428471
-106,32.67,-28.6443671241941,-32.72885722602223,-16.2834735680392,-16.44538365798303,3678194.290448674,3.755026239600344,-17.09885398006966,-17.16931549315756
-106,32.68,-27.93120269582141,-32.32684035129205,-25.59778059222567,-6.729059759066374,3671716.828493624,3.748410331019937,-17.11864093255607,-17.22009277256265
-106,32.69,-27.12015565510228,-31.84031635642168,-48.95194402476263,17.11162766834095,3665530.930850195,3.742092087177416,-17.13854879604958,-17.28924081855838
-106,32.7,-26.2604622963263,-31.31751633380918,-49.08787574244899,17.77035940863981,3659217.793843548,3.735643956548418,-17.15900697433858,-17.24904033174782
-106,32.71,-25.39913978425466,-30.80483703923528,-31.13227352011164,0.3274364808763544,3652381.011057605,3.72866125406978,-17.18042129445321,-17.31201783141542
-106,32.72,-24.58374723865563,-30.34967998730281,-24.23592569049573,-6.113754296807077,3645219.938359181,3.721347500347584,-17.20258866964341,-17.3632115773569
