# Created by Octave 7.3.0, Sun Nov 13 20:20:21 2022 GMT <unknown@LAPTOP-PSMR0IUC>
# name: X
# type: matrix
# rows: 1346
# columns: 2
 33.047458990000003 -105.09196372000002
 33.047462159999995 -105.09189528000002
 33.047465320000001 -105.09182684000001
 33.047468489999993 -105.09175839
 33.047471649999991 -105.09168995000002
 33.047474819999998 -105.09162151000001
 33.047477979999996 -105.09155307000002
 33.047481149999989 -105.09148464000002
 33.047484309999994 -105.09141620000001
 33.047487479999987 -105.09134776
 33.047490639999999 -105.09127932000001
 33.047493809999999 -105.09121088000002
 33.047496969999997 -105.09114245000001
 33.047500140000004 -105.09107401
 33.047503310000003 -105.09100557000001
 33.047506469999995 -105.09093713999999
 33.047509640000001 -105.09086871
 33.047512800000007 -105.09080027
 33.047515970000006 -105.09073183999999
 33.047519130000005 -105.09066340000003
 33.047522300000004 -105.09059497000001
 33.047525459999996 -105.09052654000001
 33.047528620000001 -105.09045810999999
 33.047531790000001 -105.09038967000001
 33.047534949999999 -105.09032124000001
 33.047538110000005 -105.09025281
 33.047541279999997 -105.09018438000001
 33.047544439999996 -105.09011595000001
 33.047547599999994 -105.09004752
 33.04755076 -105.08997909
 33.047553920000006 -105.08991066000002
 33.047557079999997 -105.08984224
 33.047560249999997 -105.08977380999998
 33.047563409999995 -105.08970538
 33.047566569999994 -105.08963695
 33.047569719999998 -105.08956852
 33.047572880000004 -105.0895001
 33.047576040000003 -105.08943167
 33.047579200000001 -105.08936325000001
 33.04758236 -105.08929482000001
 33.047585519999998 -105.08922639000001
 33.047588669999996 -105.08915797
 33.047591830000002 -105.08908955
 33.04759499 -105.08902112
 33.047598140000005 -105.08895269999999
 33.047601299999997 -105.08888426999999
 33.047604459999988 -105.08881584999999
 33.047607609999993 -105.08874742999998
 33.047610769999999 -105.08867900999999
 33.047613920000003 -105.08861059
 33.047617079999995 -105.08854216999998
 33.04762023 -105.08847374999999
 33.047623379999997 -105.08840532999999
 33.047626539999996 -105.08833690999998
 33.047629689999994 -105.08826849
 33.047632840000006 -105.08820007
 33.047635999999997 -105.08813164999999
 33.047639149999995 -105.08806323
 33.0476423 -105.08799482000001
 33.04764544999999 -105.08792640000001
 33.047648599999995 -105.08785798000001
 33.047651749999993 -105.08778957
 33.047654899999998 -105.08772114999999
 33.047658049999995 -105.08765274000001
 33.047661199999993 -105.08758432
 33.047664349999991 -105.08751591000001
 33.047667489999988 -105.0874475
 33.04767064 -105.08737908000001
 33.047673789999997 -105.08731067000001
 33.047676930000002 -105.08724226000001
 33.047680079999992 -105.08717385
 33.047683219999996 -105.08710543000001
 33.047686359999993 -105.08703702
 33.047689509999991 -105.08696861
 33.047692649999995 -105.0869002
 33.047695789999999 -105.08683178999999
 33.047698930000003 -105.08676338000001
 33.04770207 -105.08669498000002
 33.047705210000004 -105.08662657000001
 33.047708350000001 -105.08655816
 33.047711479999997 -105.08648975
 33.047714620000001 -105.08642134
 33.047717749999997 -105.08635294
 33.047720890000001 -105.08628453
 33.047724019999997 -105.08621613
 33.047727149999993 -105.08614772
 33.047730280000003 -105.08607930999999
 33.047733409999999 -105.08601091
 33.047736540000002 -105.08594250999998
 33.047739669999999 -105.08587409999998
 33.047742800000002 -105.08580569999999
 33.047745920000004 -105.08573729999998
 33.047749049999993 -105.08566888999999
 33.047752170000003 -105.08560049
 33.047755300000006 -105.08553208999999
 33.047758420000001 -105.08546369000001
 33.047761539999996 -105.08539528999999
 33.047764659999991 -105.08532688999999
 33.047767779999994 -105.08525849
 33.047770900000003 -105.08519009
 33.047774019999999 -105.08512169000001
 33.047777140000001 -105.08505329
 33.047780259999996 -105.08498490000001
 33.047783369999998 -105.08491650000001
 33.047786489999993 -105.08484809999999
 33.047789599999994 -105.08477970999999
 33.047792720000004 -105.08471130999999
 33.047795830000005 -105.08464292000001
 33.047798950000001 -105.08457452
 33.047802059999995 -105.08450612999999
 33.047805169999997 -105.08443772999999
 33.047808289999999 -105.08436934000001
 33.047811399999993 -105.08430095
 33.047814509999995 -105.08423255
 33.047817619999996 -105.08416416000001
 33.047820729999998 -105.08409577
 33.04782384 -105.08402738000001
 33.047826949999994 -105.08395899
 33.047830059999995 -105.0838906
 33.047833169999997 -105.08382220999999
 33.047836279999999 -105.08375382
 33.04783939 -105.08368543
 33.047842499999994 -105.08361704000001
 33.047845599999995 -105.08354865
 33.047848709999997 -105.08348027
 33.047851819999998 -105.08341188
 33.04785493 -105.08334349
 33.04785803 -105.08327510999999
 33.047861139999995 -105.08320672000001
 33.047864249999989 -105.08313833999999
 33.04786734999999 -105.08306995000001
 33.047870459999992 -105.08300156999999
 33.047873569999993 -105.08293318999999
 33.047876669999994 -105.0828648
 33.047879779999995 -105.08279641999999
 33.047882889999997 -105.08272803999999
 33.047885999999991 -105.08265966000002
 33.047889099999992 -105.08259126999999
 33.047892210000001 -105.0825229
 33.047895320000002 -105.08245452
 33.047898419999996 -105.08238613999998
 33.047901529999997 -105.08231776
 33.047904639999999 -105.08224938000001
 33.047907749999993 -105.08218099999999
 33.047910860000002 -105.08211263
 33.047913970000003 -105.08204425
 33.047917079999998 -105.08197588
 33.047920189999999 -105.0819075
 33.047923300000001 -105.08183912999999
 33.047926419999996 -105.08177074999999
 33.047929529999998 -105.08170238
 33.047932640000006 -105.08163401
 33.047935760000001 -105.08156564000002
 33.047938870000003 -105.08149727
 33.047941989999998 -105.08142890000001
 33.0479451 -105.08136053
 33.047948220000002 -105.08129216
 33.047951330000004 -105.08122379000002
 33.047954449999992 -105.08115542000002
 33.047957569999994 -105.08108704999999
 33.047960689999996 -105.08101869000001
 33.047963799999998 -105.08095032
 33.04796692 -105.08088194999999
