lat,lon,gravity_anomaly
66.8,-159,10.354173324659
66.8,-158.75,10.714942364328
66.8,-158.5,11.055031033756
66.8,-158.25,11.37623023764
66.8,-158,11.680477658005
66.8,-157.75,11.969830801485
66.8,-157.5,12.246438998626
66.8,-157.25,12.512514644632
66.8,-157,12.770303979083
66.8,-156.75,13.022057707649
66.8,-156.5,13.270001771705
66.8,-156.25,13.516308571911
66.8,-156,13.763068949175
66.8,-155.75,14.012265220928
66.8,-155.5,14.265745562322
66.8,-155.25,14.525200010696
66.8,-155,14.792138357628
66.8,-154.75,15.06787017595
66.8,-154.5,15.353487209537
66.8,-154.25,15.649848331355
66.8,-154,15.957567250559
66.8,-153.75,16.277003122293
66.8,-153.5,16.608254184621
66.8,-153.25,16.951154515907
66.8,-153,17.305273973147
66.8,-152.75,17.669921337644
66.8,-152.5,18.044150659255
66.8,-152.25,18.426770754575
66.8,-152,18.816357778295
66.8,-151.75,19.21127075085601
66.8,-151.5,19.609669889964
66.8,-151.25,20.009537558818
66.8,-151,20.408701610591
66.8,-150.75,20.804860877064
66.8,-150.5,21.19561251996799
66.8,-150.25,21.57848093676299
66.8,-150,21.950947888784
66.8,-149.75,22.310483499292
66.8,-149.5,22.654577752272
66.8,-149.25,22.98077211017299
66.8,-149,23.286690860491
66.8,-148.75,23.57007179731
66.55,-159,10.257850795105
66.55,-158.75,10.598932345115
66.55,-158.5,10.919274446528
66.55,-158.25,11.220406635223
66.55,-158,11.504012811385
66.55,-157.75,11.77190708066
66.55,-157.5,12.026008416468
66.55,-157.25,12.26831439638
66.55,-157,12.500874275856
66.55,-156.75,12.725761671017
66.55,-156.5,12.945047128489
66.55,-156.25,13.160770864416
66.55,-156,13.374915956514
66.55,-155.75,13.589382272286
66.55,-155.5,13.80596141321
66.55,-155.25,14.026312948722
66.55,-155,14.251942205074
66.55,-154.75,14.484179862632
66.55,-154.5,14.724163600823
66.55,-154.25,14.972822012832
66.55,-154,15.230860992223
66.55,-153.75,15.49875277112
66.55,-153.5,15.776727764442
66.55,-153.25,16.064769347149
66.55,-153,16.36261166174
66.55,-152.75,16.66974052151999
66.55,-152.5,16.98539744173299
66.55,-152.25,17.308586795891
66.55,-152,17.638086058749
66.55,-151.75,17.97245906092099
66.55,-151.5,18.310072143326
66.55,-151.25,18.649113063112
66.55,-151,18.98761246673499
66.55,-150.75,19.323467711009
66.55,-150.5,19.654468779677
66.55,-150.25,19.97832601177199
66.55,-150,20.29269932933299
66.55,-149.75,20.595228626247
66.55,-149.5,20.883564957667
66.55,-149.25,21.155402150848
66.55,-149,21.408508443957
66.55,-148.75,21.640757749518
66.3,-159,9.974838650345001
66.3,-158.75,10.293990608182
66.3,-158.5,10.593028304398
66.3,-158.25,10.873197515961
66.3,-158,11.135902585014
66.3,-157.75,11.382685716674
66.3,-157.5,11.615204976852
66.3,-157.25,11.83521119488
66.3,-157,12.044523988606
66.3,-156.75,12.245007141309
66.3,-156.5,12.438543570128
66.3,-156.25,12.627010134434
66.3,-156,12.81225253961
66.3,-155.75,12.996060596661
66.3,-155.5,13.180144100952
66.3,-155.25,13.366109593781
66.3,-155,13.555438268432
66.3,-154.75,13.749465277488
66.3,-154.5,13.949360690572
66.3,-154.25,14.156112341029
66.3,-154,14.370510786469
66.3,-153.75,14.5931365914
66.3,-153.5,14.824350120517
66.3,-153.25,15.064284008496
66.3,-153,15.3128384467
66.3,-152.75,15.56967939893
66.3,-152.5,15.834239827689
66.3,-152.25,16.105723979495
66.3,-152,16.383114742948
66.3,-151.75,16.665184056849
66.3,-151.5,16.950506308112
66.3,-151.25,17.23747462095
66.3,-151,17.524319900255
66.3,-150.75,17.809132453851
66.3,-150.5,18.089885980779
66.3,-150.25,18.364463676623
66.3,-150,18.630686172521
66.3,-149.75,18.88634099265
66.3,-149.5,19.129213185955
66.3,-149.25,19.35711676241401
66.3,-149,19.56792654252499
66.3,-148.75,19.759610011559
66.05,-159,9.569038014068003
66.05,-158.75,9.866638176685003
66.05,-158.5,10.145330547513
66.05,-158.25,10.406061085262
66.05,-158,10.649935557065
66.05,-157.75,10.87820294516
66.05,-157.5,11.092237438777
66.05,-157.25,11.29351915577
66.05,-157,11.483613754184
66.05,-156.75,11.664151109373
66.05,-156.5,11.836803247248
66.05,-156.25,12.003261738441
66.05,-156,12.165214771369
66.05,-155.75,12.324324133985
66.05,-155.5,12.482202344211
66.05,-155.25,12.640390177201
66.05,-155,12.800334843504
66.05,-154.75,12.963369075532
66.05,-154.5,13.130691380215
66.05,-154.25,13.303347713133
66.05,-154,13.48221482354
66.05,-153.75,13.667985510394
66.05,-153.5,13.861156016617
66.05,-153.25,14.062015772388
66.05,-153,14.270639678189
66.05,-152.75,14.486883094765
66.05,-152.5,14.710379680163
66.05,-152.25,14.940542183858
66.05,-152,15.176566274826
66.05,-151.75,15.417437444717
66.05,-151.5,15.661940989258
66.05,-151.25,15.908675031292
66.05,-151,16.156066507735
66.05,-150.75,16.4023900009
66.05,-150.5,16.645789252606
66.05,-150.25,16.884301157836
66.05,-150,17.115881994145
66.05,-149.75,17.338435604083
66.05,-149.5,17.549843211351
66.05,-149.25,17.747994517763
66.05,-149,17.930819698043
66.05,-148.75,18.096321883613
65.8,-159,9.108522945803999
65.8,-158.75,9.38729688157
65.8,-158.5,9.648817113058998
65.8,-158.25,9.893719672893001
65.8,-158,10.122799321222
65.8,-157.75,10.336997697209
65.8,-157.5,10.5373899424
65.8,-157.25,10.725169867848
65.8,-157,10.901633755672
65.8,-156.75,11.068162905311
65.8,-156.5,11.226205055116
65.8,-156.25,11.377254830354
65.8,-156,11.522833389158
65.8,-155.75,11.664467457716
65.8,-155.5,11.803667964778
65.8,-155.25,11.941908502859
65.8,-155,12.080603858872
65.8,-154.75,12.2210888699
65.8,-154.5,12.364597869991
65.8,-154.25,12.51224500083
65.8,-154,12.665005662531
65.8,-153.75,12.823699380371
65.8,-153.5,12.988974358666
65.8,-153.25,13.161293984145
65.8,-153,13.340925527826
65.8,-152.75,13.527931276644
65.8,-152.5,13.722162303833
65.8,-152.25,13.923255060521
65.8,-152,14.13063094034
65.8,-151.75,14.343498934296
65.8,-151.5,14.560861455164
65.8,-151.25,14.781523369581
65.8,-151,15.00410423241
65.8,-150.75,15.227053672335
65.8,-150.5,15.448669830707
65.8,-150.25,15.667120708052
65.8,-150,15.88046822505
65.8,-149.75,16.086694758047
65.8,-149.5,16.28373186389
65.8,-149.25,16.469490865994
65.8,-149,16.641894933683
65.8,-148.75,16.798912250862
65.55,-159,8.660784306742002
65.55,-158.75,8.925375953069
65.55,-158.5,9.174660223895
65.55,-158.25,9.408958241346999
65.55,-158,9.628747263299999
65.55,-157.75,9.834654193988001
