lat,lon,height_anomaly
66.8,-159,6.166922154564999
66.8,-158.75,6.277425083154001
66.8,-158.5,6.392319937458999
66.8,-158.25,6.513917878340998
66.8,-158,6.645870117212
66.8,-157.75,6.792317501761
66.8,-157.5,6.956361274734001
66.8,-157.25,7.138400813944999
66.8,-157,7.335031454992
66.8,-156.75,7.539077179808
66.8,-156.5,7.740967230978
66.8,-156.25,7.931169741883002
66.8,-156,8.10294832938
66.8,-155.75,8.254486536196003
66.8,-155.5,8.389537668128003
66.8,-155.25,8.516195605427001
66.8,-155,8.644015253984
66.8,-154.75,8.780326213901001
66.8,-154.5,8.926956161567
66.8,-154.25,9.078557678291
66.8,-154,9.223290270159
66.8,-153.75,9.345871145188999
66.8,-153.5,9.432208420707999
66.8,-153.25,9.474238367973999
66.8,-153,9.473416579495003
66.8,-152.75,9.441641231286001
66.8,-152.5,9.399129302044001
66.8,-152.25,9.369696375826004
66.8,-152,9.374711148806
66.8,-151.75,9.427439403866002
66.8,-151.5,9.529409905055001
66.8,-151.25,9.669846676149003
66.8,-151,9.828302623673999
66.8,-150.75,9.979686238432004
66.8,-150.5,10.100192952928
66.8,-150.25,10.172444397852
66.8,-150,10.188456124536
66.8,-149.75,10.149781538196
66.8,-149.5,10.065072880743
66.8,-149.25,9.946069822911999
66.8,-149,9.803433485486002
66.8,-148.75,9.643775833748
66.55,-159,6.612125905197999
66.55,-158.75,6.774800875684999
66.55,-158.5,6.950977920841
66.55,-158.25,7.130282388878
66.55,-158,7.303231946994999
66.55,-157.75,7.463616905754001
66.55,-157.5,7.609381414559
66.55,-157.25,7.741935687941
66.55,-157,7.864420097427999
66.55,-156.75,7.979787201608
66.55,-156.5,8.089544865727003
66.55,-156.25,8.193636903130001
66.55,-156,8.29138721476
66.55,-155.75,8.382930904054001
66.55,-155.5,8.470312625989999
66.55,-155.25,8.557555083594
66.55,-155,8.649447083666001
66.55,-154.75,8.749394280843999
66.55,-154.5,8.857172693873
66.55,-154.25,8.967609143639001
66.55,-154,9.070982532777002
66.55,-153.75,9.155353525485001
66.55,-153.5,9.210290065386999
66.55,-153.25,9.230837648865
66.55,-153,9.220333165512997
66.55,-152.75,9.190903262133999
66.55,-152.5,9.161171564779998
66.55,-152.25,9.151608814454001
66.55,-152,9.178788569042
66.55,-151.75,9.250265491384999
66.55,-151.5,9.361699227828003
66.55,-151.25,9.497213936908
66.55,-151,9.633005831214
66.55,-150.75,9.743204042537998
66.55,-150.5,9.806284037912002
66.55,-150.25,9.810160843933
66.55,-150,9.754508412249999
66.55,-149.75,9.649723534664
66.55,-149.5,9.512992241431
66.55,-149.25,9.362787261510002
66.55,-149,9.213552063013999
66.55,-148.75,9.072186350273002
66.3,-159,7.269498164882001
66.3,-158.75,7.445635739948
66.3,-158.5,7.631748817782
66.3,-158.25,7.807439800208999
66.3,-158,7.954515137587999
66.3,-157.75,8.062223875543001
66.3,-157.5,8.129917478029999
66.3,-157.25,8.166484460369002
66.3,-157,8.187013513831999
66.3,-156.75,8.208007039468001
66.3,-156.5,8.242816849823001
66.3,-156.25,8.298719543345999
66.3,-156,8.376326697070001
66.3,-155.75,8.471131059305002
66.3,-155.5,8.576263802727
66.3,-155.25,8.685233864076
66.3,-155,8.793616989014
66.3,-154.75,8.899241812750001
66.3,-154.5,9.001124478119999
66.3,-154.25,9.097938738934999
66.3,-154,9.186963497853998
66.3,-153.75,9.264174648799999
66.3,-153.5,9.325570578471002
66.3,-153.25,9.369191105549001
66.3,-153,9.396879284617
66.3,-152.75,9.414827644278999
66.3,-152.5,9.432366551709002
66.3,-152.25,9.459141828661002
66.3,-152,9.501525392871999
66.3,-151.75,9.559526982137001
66.3,-151.5,9.625442077601003
66.3,-151.25,9.684964227567001
66.3,-151,9.720671178466999
66.3,-150.75,9.716948314061
66.3,-150.5,9.664844902477
66.3,-150.25,9.565282818667004
66.3,-150,9.429498335530001
66.3,-149.75,9.27645197242
66.3,-149.5,9.12790699312
66.3,-149.25,9.002630812843003
66.3,-149,8.911463241158
66.3,-148.75,8.854726281914001
66.05,-159,7.800251312509
66.05,-158.75,7.957960246831999
66.05,-158.5,8.113534818001003
66.05,-158.25,8.241933000169997
66.05,-158,8.32297282885
66.05,-157.75,8.348004479366001
66.05,-157.5,8.323014876575002
66.05,-157.25,8.267248105383999
66.05,-157,8.207909148752998
66.05,-156.75,8.172748426129999
66.05,-156.5,8.182897669486001
66.05,-156.25,8.248088280135997
66.05,-156,8.365464550689005
66.05,-155.75,8.521964706264999
66.05,-155.5,8.699126907597
66.05,-155.25,8.878552620402001
66.05,-155,9.046291877532999
66.05,-154.75,9.195024051900001
66.05,-154.5,9.323816349800001
66.05,-154.25,9.436092216922003
66.05,-154,9.536932777331
66.05,-153.75,9.630830394809999
66.05,-153.5,9.720580449484
66.05,-153.25,9.807361346759999
66.05,-153,9.891498766862
66.05,-152.75,9.973165349202
66.05,-152.5,10.052412839785
66.05,-152.25,10.128380674981
66.05,-152,10.198056723792
66.05,-151.75,10.25533307553
66.05,-151.5,10.291124423065
66.05,-151.25,10.29496607469
66.05,-151,10.257909942035
66.05,-150.75,10.175927044561
66.05,-150.5,10.052657651023
66.05,-150.25,9.900394466808001
66.05,-150,9.738656733557999
66.05,-149.75,9.590466934833001
66.05,-149.5,9.477218626913999
66.05,-149.25,9.413547839699003
66.05,-149,9.403699091270001
66.05,-148.75,9.440471777477999
65.8,-159,8.172280742806
65.8,-158.75,8.301131857828002
65.8,-158.5,8.415368651215999
65.8,-158.25,8.492644705514001
65.8,-158,8.517793663049
65.8,-157.75,8.488709761521999
65.8,-157.5,8.418310448794998
65.8,-157.25,8.331886720396
65.8,-157,8.260675656790999
65.8,-156.75,8.233696835770001
65.8,-156.5,8.270380664690999
65.8,-156.25,8.376150865405002
65.8,-156,8.542075041674998
65.8,-155.75,8.748361141664995
65.8,-155.5,8.970321115892999
65.8,-155.25,9.184817173279999
65.8,-155,9.375301628231
65.8,-154.75,9.534253039498999
65.8,-154.5,9.662796562501002
65.8,-154.25,9.768201395761999
65.8,-154,9.860469903700002
65.8,-153.75,9.949243246018
65.8,-153.5,10.041823714313
65.8,-153.25,10.142485886492
65.8,-153,10.252698436814
65.8,-152.75,10.371621401044
65.8,-152.5,10.49634870761
65.8,-152.25,10.621738757188
65.8,-152,10.740110577149
65.8,-151.75,10.841355390745
65.8,-151.5,10.913978636471
65.8,-151.25,10.947241785291
65.8,-151,10.934055344473
65.8,-150.75,10.873807435603
65.8,-150.5,10.774111416817
65.8,-150.25,10.650638177018
65.8,-150,10.524731478499
65.8,-149.75,10.419213784204
65.8,-149.5,10.353423045644
65.8,-149.25,10.338842626703
65.8,-149,10.376568292278
65.8,-148.75,10.457326095007
65.55,-159,8.587384108066001
65.55,-158.75,8.681236395338001
65.55,-158.5,8.749018100200997
65.55,-158.25,8.779714221739001
65.55,-158,8.770344084675999
65.55,-157.75,8.728556803630999
65.55,-157.5,8.671948162484998
65.55,-157.25,8.624150896945
65.55,-157,8.608870313026999
65.55,-156.75,8.643736830056001
65.55,-156.5,8.735884349383001
65.55,-156.25,8.880545527465003
65.55,-156,9.062926668678001
65.55,-155.75,9.262567738661001
65.55,-155.5,9.458678520646
65.55,-155.25,9.634795247331999
65.55,-155,9.781527085529
65.55,-154.75,9.896954005859001
65.55,-154.5,9.985074120989999
65.55,-154.25,10.053268599536
65.55,-154,10.109874104783
65.55,-153.75,10.16263451655
